Edition,Footnote,Type,Designation,,,,,,,A ,d,tw,tw/2,bf,tf,T,k,k1,W,bf/2tf,h/tw,Fy''',X1,X2x106,Ix,Zx,Sx,rx,y,yp,Iy,Zy,Sy,ry,x,xp,rz,maxf,Grip,eo,Qs36,Qs50,Qs36c,Qs50c,Qs36s,Qs50s,Astem,tan(?),twstem,twstem/2,OD,ID,twall,J,t,Iy',Sy',ry',sched,Anet36,d1A36,IxA36,SxA36,rxA36,y1A36,ryA36,AnetASTM,d1ASTM,IxASTM,SxASTM,rxASTM,y1ASTM,ryASTM,d/t,ry0,ry1_4,ry3_8,ry1_2,ry5_8,ry3_4,d/Af,rT,Fy'',Cw,Fy',Cc50',Cc36',a,Wno,Sw,Sw1,Sw2,Sw3,Qf,Qw,B,b,Ht / t,h/tdes,b/tdes,D/t,Ht,h,tnom,tdes,b / t,C,ro,H,ddet,bfdet,twdet,twdet/2,tfdet,kdes,kdet,B/t,Sz,Qs,Iz,Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PB
14th,–,W,W36X330,–,–,–,–,–,–,96.9,37.7,1.02,–,16.6,1.85,–,–,1  3/4 ,330,4.49,31.4,–,–,–,23300,1410,1240,15.5,–,–,1420,265,171,3.83,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,84.3,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,456000,–,–,–,–,149,–,1150,–,–,259,698,–,–,–,–,–,–,–,–,–,–,–,–,–,–,37  5/8 ,16  5/8 ,1,  1/2 ,1  7/8 ,2.8,3  1/8 ,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.53,35.9,121,138
14th,–,W,W36X302,–,–,–,–,–,–,89,37.3,0.945,–,16.7,1.68,–,–,1 11/16,302,4.96,33.9,–,–,–,21100,1280,1130,15.4,–,–,1300,241,156,3.82,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,64.3,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,412000,–,–,–,–,148,–,1040,–,–,235,635,–,–,–,–,–,–,–,–,–,–,–,–,–,–,37  3/8 ,16  5/8 , 15/16,  1/2 ,1 11/16,2.63,3,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.53,35.6,121,138
14th,–,W,W36X282,–,–,–,–,–,–,82.9,37.1,0.885,–,16.6,1.57,–,–,1  5/8 ,282,5.29,36.2,–,–,–,19600,1190,1050,15.4,–,–,1200,223,144,3.8,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,52.7,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,378000,–,–,–,–,147,–,960,–,–,219,591,–,–,–,–,–,–,–,–,–,–,–,–,–,–,37  1/8 ,16  5/8 ,  7/8 ,  7/16,1  9/16,2.52,2  7/8 ,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.5,35.5,120,137
14th,–,W,W36X262,–,–,–,–,–,–,77.2,36.9,0.84,–,16.6,1.44,–,–,1  5/8 ,262,5.75,38.2,–,–,–,17900,1100,972,15.3,–,–,1090,204,132,3.76,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,41.6,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,342000,–,–,–,–,147,–,873,–,–,200,543,–,–,–,–,–,–,–,–,–,–,–,–,–,–,36  7/8 ,16  1/2 , 13/16,  7/16,1  7/16,2.39,2  3/4 ,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.46,35.5,120,137
14th,–,W,W36X247,–,–,–,–,–,–,72.5,36.7,0.8,–,16.5,1.35,–,–,1  5/8 ,247,6.11,40.1,–,–,–,16700,1030,913,15.2,–,–,1010,190,123,3.74,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,34.7,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,316000,–,–,–,–,146,–,812,–,–,187,509,–,–,–,–,–,–,–,–,–,–,–,–,–,–,36  5/8 ,16  1/2 , 13/16,  7/16,1  3/8 ,2.3,2  5/8 ,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.42,35.4,120,136
14th,–,W,W36X231,–,–,–,–,–,–,68.2,36.5,0.76,–,16.5,1.26,–,–,1  9/16,231,6.54,42.2,–,–,–,15600,963,854,15.1,–,–,940,176,114,3.71,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,28.7,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,292000,–,–,–,–,145,–,756,–,–,175,476,–,–,–,–,–,–,–,–,–,–,–,–,–,–,36  1/2 ,16  1/2 ,  3/4 ,  3/8 ,1  1/4 ,2.21,2  9/16,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.4,35.2,120,136
14th,–,W,W36X256,–,–,–,–,–,–,75.3,37.4,0.96,–,12.2,1.73,–,–,1  5/16,256,3.53,33.8,–,–,–,16800,1040,895,14.9,–,–,528,137,86.5,2.65,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,52.9,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,168000,–,–,–,–,109,–,576,–,–,174,516,–,–,–,–,–,–,–,–,–,–,–,–,–,–,37  3/8 ,12  1/4 , 15/16,  1/2 ,1  3/4 ,2.48,2  5/8 ,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3.24,35.7,108,120
14th,–,W,W36X232,–,–,–,–,–,–,68,37.1,0.87,–,12.1,1.57,–,–,1  1/4 ,232,3.86,37.3,–,–,–,15000,936,809,14.8,–,–,468,122,77.2,2.62,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,39.6,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,148000,–,–,–,–,108,–,512,–,–,157,464,–,–,–,–,–,–,–,–,–,–,–,–,–,–,37  1/8 ,12  1/8 ,  7/8 ,  7/16,1  9/16,2.32,2  7/16,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3.21,35.5,108,120
14th,–,W,W36X210,–,–,–,–,–,–,61.9,36.7,0.83,–,12.2,1.36,–,–,1  1/4 ,210,4.48,39.1,–,–,–,13200,833,719,14.6,–,–,411,107,67.5,2.58,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,28,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,128000,–,–,–,–,108,–,446,–,–,136,412,–,–,–,–,–,–,–,–,–,–,–,–,–,–,36  3/4 ,12  1/8 , 13/16,  7/16,1  3/8 ,2.11,2  5/16,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3.18,35.3,107,119
14th,–,W,W36X194,–,–,–,–,–,–,57,36.5,0.765,–,12.1,1.26,–,–,1  3/16,194,4.81,42.4,–,–,–,12100,767,664,14.6,–,–,375,97.7,61.9,2.56,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,22.2,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,116000,–,–,–,–,107,–,407,–,–,126,379,–,–,–,–,–,–,–,–,–,–,–,–,–,–,36  1/2 ,12  1/8 ,  3/4 ,  3/8 ,1  1/4 ,2.01,2  3/16,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3.15,35.2,107,119
14th,–,W,W36X182,–,–,–,–,–,–,53.6,36.3,0.725,–,12.1,1.18,–,–,1  3/16,182,5.12,44.8,–,–,–,11300,718,623,14.5,–,–,347,90.7,57.6,2.55,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,18.5,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,107000,–,–,–,–,106,–,378,–,–,118,355,–,–,–,–,–,–,–,–,–,–,–,–,–,–,36  3/8 ,12  1/8 ,  3/4 ,  3/8 ,1  3/16,1.93,2  1/8 ,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3.13,35.1,106,118
14th,–,W,W36X170,–,–,–,–,–,–,50,36.2,0.68,–,12,1.1,–,–,1  3/16,170,5.47,47.7,–,–,–,10500,668,581,14.5,–,–,320,83.8,53.2,2.53,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,15.1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,98500,–,–,–,–,105,–,349,–,–,109,330,–,–,–,–,–,–,–,–,–,–,–,–,–,–,36  1/8 ,12, 11/16,  3/8 ,1  1/8 ,1.85,2,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3.11,35.1,106,118
14th,–,W,W36X160,–,–,–,–,–,–,47,36,0.65,–,12,1.02,–,–,1  1/8 ,160,5.88,49.9,–,–,–,9760,624,542,14.4,–,–,295,77.3,49.1,2.5,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,12.4,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,90200,–,–,–,–,105,–,321,–,–,101,308,–,–,–,–,–,–,–,–,–,–,–,–,–,–,36,12,  5/8 ,  5/16,1,1.77,1 15/16,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3.09,35,105,117
14th,–,W,W36X150,–,–,–,–,–,–,44.3,35.9,0.625,–,12,0.94,–,–,1  1/8 ,150,6.37,51.9,–,–,–,9040,581,504,14.3,–,–,270,70.9,45.1,2.47,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,10.1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,82200,–,–,–,–,105,–,294,–,–,93.1,287,–,–,–,–,–,–,–,–,–,–,–,–,–,–,35  7/8 ,12,  5/8 ,  5/16, 15/16,1.69,1  7/8 ,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3.06,35,105,117
14th,–,W,W36X135,–,–,–,–,–,–,39.9,35.6,0.6,–,12,0.79,–,–,1  1/8 ,135,7.56,54.1,–,–,–,7800,509,439,14,–,–,225,59.7,37.7,2.38,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,7,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,68100,–,–,–,–,104,–,245,–,–,77.9,251,–,–,–,–,–,–,–,–,–,–,–,–,–,–,35  1/2 ,12,  5/8 ,  5/16, 13/16,1.54,1 11/16,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2.99,34.8,105,117
14th,–,W,W33X387,–,–,–,–,–,–,114,36,1.26,–,16.2,2.28,–,–,1  7/16,387,3.55,23.7,–,–,–,24300,1560,1350,14.6,–,–,1620,312,200,3.77,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,148,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,459000,–,–,–,–,137,–,1260,–,–,287,778,–,–,–,–,–,–,–,–,–,–,–,–,–,–,36,16  1/4 ,1  1/4 ,  5/8 ,2  1/4 ,3.07,3  3/16,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.49,33.7,117,133
14th,–,W,W33X354,–,–,–,–,–,–,104,35.6,1.16,–,16.1,2.09,–,–,1  3/8 ,354,3.85,25.7,–,–,–,22000,1420,1240,14.5,–,–,1460,282,181,3.74,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,115,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,408000,–,–,–,–,135,–,1130,–,–,262,707,–,–,–,–,–,–,–,–,–,–,–,–,–,–,35  1/2 ,16  1/8 ,1  3/16,  5/8 ,2  1/16,2.88,2 15/16,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.44,33.5,116,132
14th,–,W,W33X318,–,–,–,–,–,–,93.7,35.2,1.04,–,16,1.89,–,–,1  5/16,318,4.23,28.7,–,–,–,19500,1270,1110,14.5,–,–,1290,250,161,3.71,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,84.4,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,357000,–,–,–,–,133,–,1010,–,–,235,632,–,–,–,–,–,–,–,–,–,–,–,–,–,–,35  1/8 ,16,1  1/16,  9/16,1  7/8 ,2.68,2  3/4 ,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.4,33.3,115,131
14th,–,W,W33X291,–,–,–,–,–,–,85.6,34.8,0.96,–,15.9,1.73,–,–,1  5/16,291,4.6,31,–,–,–,17700,1160,1020,14.4,–,–,1160,226,146,3.68,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,65.1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,319000,–,–,–,–,131,–,904,–,–,214,573,–,–,–,–,–,–,–,–,–,–,–,–,–,–,34  7/8 ,15  7/8 , 15/16,  1/2 ,1  3/4 ,2.52,2  5/8 ,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.34,33.1,114,130
14th,–,W,W33X263,–,–,–,–,–,–,77.4,34.5,0.87,–,15.8,1.57,–,–,1  1/4 ,263,5.03,34.3,–,–,–,15900,1040,919,14.3,–,–,1040,202,131,3.66,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,48.7,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,281000,–,–,–,–,130,–,807,–,–,193,515,–,–,–,–,–,–,–,–,–,–,–,–,–,–,34  1/2 ,15  3/4 ,  7/8 ,  7/16,1  9/16,2.36,2  7/16,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.31,32.9,113,129
14th,–,W,W33X241,–,–,–,–,–,–,71.1,34.2,0.83,–,15.9,1.4,–,–,1  1/4 ,241,5.66,35.9,–,–,–,14200,940,831,14.1,–,–,933,182,118,3.62,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,36.2,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,251000,–,–,–,–,130,–,726,–,–,173,467,–,–,–,–,–,–,–,–,–,–,–,–,–,–,34  1/8 ,15  7/8 , 13/16,  7/16,1  3/8 ,2.19,2  1/4 ,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.29,32.8,113,129
14th,–,W,W33X221,–,–,–,–,–,–,65.3,33.9,0.775,–,15.8,1.28,–,–,1  3/16,221,6.2,38.5,–,–,–,12900,857,759,14.1,–,–,840,164,106,3.59,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,27.8,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,224000,–,–,–,–,129,–,647,–,–,156,423,–,–,–,–,–,–,–,–,–,–,–,–,–,–,33  7/8 ,15  3/4 ,  3/4 ,  3/8 ,1  1/4 ,2.06,2  1/8 ,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.25,32.6,112,128
14th,–,W,W33X201,–,–,–,–,–,–,59.1,33.7,0.715,–,15.7,1.15,–,–,1  3/16,201,6.85,41.7,–,–,–,11600,773,686,14,–,–,749,147,95.2,3.56,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,20.8,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,198000,–,–,–,–,128,–,577,–,–,140,382,–,–,–,–,–,–,–,–,–,–,–,–,–,–,33  5/8 ,15  3/4 , 11/16,  3/8 ,1  1/8 ,1.94,2,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.21,32.6,111,127
14th,–,W,W33X169,–,–,–,–,–,–,49.5,33.8,0.67,–,11.5,1.22,–,–,1  3/16,169,4.71,44.7,–,–,–,9290,629,549,13.7,–,–,310,84.4,53.9,2.5,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,17.7,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,82400,–,–,–,–,93.7,–,329,–,–,108,311,–,–,–,–,–,–,–,–,–,–,–,–,–,–,33  7/8 ,11  1/2 , 11/16,  3/8 ,1  1/4 ,1.92,2  1/8 ,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3.03,32.6,99.5,111
14th,–,W,W33X152,–,–,–,–,–,–,44.9,33.5,0.635,–,11.6,1.06,–,–,1  1/8 ,152,5.48,47.2,–,–,–,8160,559,487,13.5,–,–,273,73.9,47.2,2.47,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,12.4,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,71700,–,–,–,–,94.1,–,289,–,–,94.3,278,–,–,–,–,–,–,–,–,–,–,–,–,–,–,33  1/2 ,11  5/8 ,  5/8 ,  5/16,1  1/16,1.76,1 15/16,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3.01,32.4,99.4,111
14th,–,W,W33X141,–,–,–,–,–,–,41.5,33.3,0.605,–,11.5,0.96,–,–,1  1/8 ,141,6.01,49.6,–,–,–,7450,514,448,13.4,–,–,246,66.9,42.7,2.43,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,9.7,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,64400,–,–,–,–,93,–,257,–,–,84.6,253,–,–,–,–,–,–,–,–,–,–,–,–,–,–,33  1/4 ,11  1/2 ,  5/8 ,  5/16, 15/16,1.66,1 13/16,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2.98,32.3,98.5,110
14th,–,W,W33X130,–,–,–,–,–,–,38.3,33.1,0.58,–,11.5,0.855,–,–,1  1/8 ,130,6.73,51.7,–,–,–,6710,467,406,13.2,–,–,218,59.5,37.9,2.39,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,7.37,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,56600,–,–,–,–,92.7,–,228,–,–,75.3,230,–,–,–,–,–,–,–,–,–,–,–,–,–,–,33  1/8 ,11  1/2 ,  9/16,  5/16,  7/8 ,1.56,1  3/4 ,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2.94,32.2,98.5,110
14th,–,W,W33X118,–,–,–,–,–,–,34.7,32.9,0.55,–,11.5,0.74,–,–,1  1/8 ,118,7.76,54.5,–,–,–,5900,415,359,13,–,–,187,51.3,32.6,2.32,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,5.3,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,48300,–,–,–,–,92.5,–,197,–,–,65.1,205,–,–,–,–,–,–,–,–,–,–,–,–,–,–,32  7/8 ,11  1/2 ,  9/16,  5/16,  3/4 ,1.44,1  5/8 ,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2.89,32.2,97.5,109
14th,–,W,W30X391,–,–,–,–,–,–,115,33.2,1.36,–,15.6,2.44,–,–,1  1/2 ,391,3.19,19.7,–,–,–,20700,1450,1250,13.4,–,–,1550,310,198,3.67,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,173,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,366000,–,–,–,–,120,–,1140,–,–,267,722,–,–,–,–,–,–,–,–,–,–,–,–,–,–,33  1/4 ,15  5/8 ,1  3/8 , 11/16,2  7/16,3.23,3  3/8 ,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.37,30.8,109,125
14th,–,W,W30X357,–,–,–,–,–,–,105,32.8,1.24,–,15.5,2.24,–,–,1  7/16,357,3.45,21.6,–,–,–,18700,1320,1140,13.3,–,–,1390,279,179,3.64,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,134,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,324000,–,–,–,–,118,–,1030,–,–,244,655,–,–,–,–,–,–,–,–,–,–,–,–,–,–,32  3/4 ,15  1/2 ,1  1/4 ,  5/8 ,2  1/4 ,3.03,3  1/8 ,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.31,30.6,108,124
14th,–,W,W30X326,–,–,–,–,–,–,95.9,32.4,1.14,–,15.4,2.05,–,–,1  3/8 ,326,3.75,23.4,–,–,–,16800,1190,1040,13.2,–,–,1240,252,162,3.6,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,103,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,287000,–,–,–,–,117,–,922,–,–,222,593,–,–,–,–,–,–,–,–,–,–,–,–,–,–,32  3/8 ,15  3/8 ,1  1/8 ,  9/16,2  1/16,2.84,2 15/16,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.26,30.4,108,123
14th,–,W,W30X292,–,–,–,–,–,–,86,32,1.02,–,15.3,1.85,–,–,1  5/16,292,4.12,26.2,–,–,–,14900,1060,930,13.2,–,–,1100,223,144,3.58,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,75.2,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,250000,–,–,–,–,115,–,816,–,–,199,529,–,–,–,–,–,–,–,–,–,–,–,–,–,–,32,15  1/4 ,1,  1/2 ,1  7/8 ,2.64,2  3/4 ,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.22,30.2,107,122
14th,–,W,W30X261,–,–,–,–,–,–,77,31.6,0.93,–,15.2,1.65,–,–,1  5/16,261,4.59,28.7,–,–,–,13100,943,829,13.1,–,–,959,196,127,3.53,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,54.1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,215000,–,–,–,–,114,–,714,–,–,176,469,–,–,–,–,–,–,–,–,–,–,–,–,–,–,31  5/8 ,15  1/8 , 15/16,  1/2 ,1  5/8 ,2.44,2  9/16,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.16,30,106,121
14th,–,W,W30X235,–,–,–,–,–,–,69.3,31.3,0.83,–,15.1,1.5,–,–,1  1/4 ,235,5.02,32.2,–,–,–,11700,847,748,13,–,–,855,175,114,3.51,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,40.3,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,190000,–,–,–,–,112,–,637,–,–,159,421,–,–,–,–,–,–,–,–,–,–,–,–,–,–,31  1/4 ,15, 13/16,  7/16,1  1/2 ,2.29,2  3/8 ,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.13,29.8,105,120
14th,–,W,W30X211,–,–,–,–,–,–,62.3,30.9,0.775,–,15.1,1.32,–,–,1  3/16,211,5.74,34.5,–,–,–,10300,751,665,12.9,–,–,757,155,100,3.49,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,28.4,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,166000,–,–,–,–,112,–,556,–,–,140,372,–,–,–,–,–,–,–,–,–,–,–,–,–,–,31,15  1/8 ,  3/4 ,  3/8 ,1  5/16,2.1,2  1/4 ,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.11,29.6,104,119
14th,–,W,W30X191,–,–,–,–,–,–,56.1,30.7,0.71,–,15,1.19,–,–,1  3/16,191,6.35,37.7,–,–,–,9200,675,600,12.8,–,–,673,138,89.5,3.46,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,21,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,146000,–,–,–,–,111,–,494,–,–,125,335,–,–,–,–,–,–,–,–,–,–,–,–,–,–,30  5/8 ,15, 11/16,  3/8 ,1  3/16,1.97,2  1/16,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.06,29.5,104,119
14th,–,W,W30X173,–,–,–,–,–,–,50.9,30.4,0.655,–,15,1.07,–,–,1  1/8 ,173,7.04,40.8,–,–,–,8230,607,541,12.7,–,–,598,123,79.8,3.42,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,15.6,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,129000,–,–,–,–,110,–,441,–,–,113,301,–,–,–,–,–,–,–,–,–,–,–,–,–,–,30  1/2 ,15,  5/8 ,  5/16,1  1/16,1.85,2,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.03,29.3,103,118
14th,–,W,W30X148,–,–,–,–,–,–,43.6,30.7,0.65,–,10.5,1.18,–,–,1  1/8 ,148,4.44,41.6,–,–,–,6680,500,436,12.4,–,–,227,68,43.3,2.28,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,14.5,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,49400,–,–,–,–,77.5,–,240,–,–,85.8,248,–,–,–,–,–,–,–,–,–,–,–,–,–,–,30  5/8 ,10  1/2 ,  5/8 ,  5/16,1  3/16,1.83,2  1/16,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2.77,29.5,90.5,101
14th,–,W,W30X132,–,–,–,–,–,–,38.8,30.3,0.615,–,10.5,1,–,–,1  1/8 ,132,5.27,43.9,–,–,–,5770,437,380,12.2,–,–,196,58.4,37.2,2.25,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,9.72,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,42100,–,–,–,–,76.9,–,202,–,–,72.4,215,–,–,–,–,–,–,–,–,–,–,–,–,–,–,30  1/4 ,10  1/2 ,  5/8 ,  5/16,1,1.65,1  7/8 ,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2.75,29.3,89.5,100
